Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
50,5,3.3,1.4,0.2,Rosa 
51,7,3.2,4.7,1.4,Gymnocarpae
52,6.4,3.2,4.5,1.5,Gymnocarpae
53,6.9,3.1,4.9,1.5,Gymnocarpae
54,5.5,2.3,4,1.3,Gymnocarpae
55,6.5,2.8,4.6,1.5,Gymnocarpae
56,5.7,2.8,4.5,1.3,Gymnocarpae
57,6.3,3.3,4.7,1.6,Gymnocarpae
58,4.9,2.4,3.3,1,Gymnocarpae
59,6.6,2.9,4.6,1.3,Gymnocarpae
60,5.2,2.7,3.9,1.4,Gymnocarpae
61,5,2,3.5,1,Gymnocarpae
62,5.9,3,4.2,1.5,Gymnocarpae
63,6,2.2,4,1,Gymnocarpae
64,6.1,2.9,4.7,1.4,Gymnocarpae
65,5.6,2.9,3.6,1.3,Gymnocarpae
66,6.7,3.1,4.4,1.4,Gymnocarpae
67,5.6,3,4.5,1.5,Gymnocarpae
68,5.8,2.7,4.1,1,Gymnocarpae
69,6.2,2.2,4.5,1.5,Gymnocarpae
70,5.6,2.5,3.9,1.1,Gymnocarpae
71,5.9,3.2,4.8,1.8,Gymnocarpae
72,6.1,2.8,4,1.3,Gymnocarpae
73,6.3,2.5,4.9,1.5,Gymnocarpae
74,6.1,2.8,4.7,1.2,Gymnocarpae
75,6.4,2.9,4.3,1.3,Gymnocarpae
76,6.6,3,4.4,1.4,Gymnocarpae
77,6.8,2.8,4.8,1.4,Gymnocarpae
78,6.7,3,5,1.7,Gymnocarpae
79,6,2.9,4.5,1.5,Gymnocarpae
80,5.7,2.6,3.5,1,Gymnocarpae
81,5.5,2.4,3.8,1.1,Gymnocarpae
82,5.5,2.4,3.7,1,Gymnocarpae
83,5.8,2.7,3.9,1.2,Gymnocarpae
84,6,2.7,5.1,1.6,Gymnocarpae
85,5.4,3,4.5,1.5,Gymnocarpae
86,6,3.4,4.5,1.6,Gymnocarpae
87,6.7,3.1,4.7,1.5,Gymnocarpae
88,6.3,2.3,4.4,1.3,Gymnocarpae
89,5.6,3,4.1,1.3,Gymnocarpae
90,5.5,2.5,4,1.3,Gymnocarpae
91,5.5,2.6,4.4,1.2,Gymnocarpae
92,6.1,3,4.6,1.4,Gymnocarpae
93,5.8,2.6,4,1.2,Gymnocarpae
94,5,2.3,3.3,1,Gymnocarpae
95,5.6,2.7,4.2,1.3,Gymnocarpae
96,5.7,3,4.2,1.2,Gymnocarpae
97,5.7,2.9,4.2,1.3,Gymnocarpae
98,6.2,2.9,4.3,1.3,Gymnocarpae
99,5.1,2.5,3,1.1,Gymnocarpae
100,5.7,2.8,4.1,1.3,Gymnocarpae
101,6.3,3.3,6,2.5,Carolinae
102,5.8,2.7,5.1,1.9,Carolinae
103,7.1,3,5.9,2.1,Carolinae
104,6.3,2.9,5.6,1.8,Carolinae
105,6.5,3,5.8,2.2,Carolinae
106,7.6,3,6.6,2.1,Carolinae
107,4.9,2.5,4.5,1.7,Carolinae
108,7.3,2.9,6.3,1.8,Carolinae
109,6.7,2.5,5.8,1.8,Carolinae
110,7.2,3.6,6.1,2.5,Carolinae
111,6.5,3.2,5.1,2,Carolinae
112,6.4,2.7,5.3,1.9,Carolinae
113,6.8,3,5.5,2.1,Carolinae
114,5.7,2.5,5,2,Carolinae
115,5.8,2.8,5.1,2.4,Carolinae
116,6.4,3.2,5.3,2.3,Carolinae
117,6.5,3,5.5,1.8,Carolinae
118,7.7,3.8,6.7,2.2,Carolinae
119,7.7,2.6,6.9,2.3,Carolinae
120,6,2.2,5,1.5,Carolinae
121,6.9,3.2,5.7,2.3,Carolinae
122,5.6,2.8,4.9,2,Carolinae
123,7.7,2.8,6.7,2,Carolinae
124,6.3,2.7,4.9,1.8,Carolinae
125,6.7,3.3,5.7,2.1,Carolinae
126,7.2,3.2,6,1.8,Carolinae
127,6.2,2.8,4.8,1.8,Carolinae
128,6.1,3,4.9,1.8,Carolinae
129,6.4,2.8,5.6,2.1,Carolinae
130,7.2,3,5.8,1.6,Carolinae
131,7.4,2.8,6.1,1.9,Carolinae
132,7.9,3.8,6.4,2,Carolinae
133,6.4,2.8,5.6,2.2,Carolinae
134,6.3,2.8,5.1,1.5,Carolinae
135,6.1,2.6,5.6,1.4,Carolinae
136,7.7,3,6.1,2.3,Carolinae
137,6.3,3.4,5.6,2.4,Carolinae
138,6.4,3.1,5.5,1.8,Carolinae
139,6,3,4.8,1.8,Carolinae
140,6.9,3.1,5.4,2.1,Carolinae
141,6.7,3.1,5.6,2.4,Carolinae
142,6.9,3.1,5.1,2.3,Carolinae
143,5.8,2.7,5.1,1.9,Carolinae
144,6.8,3.2,5.9,2.3,Carolinae
145,6.7,3.3,5.7,2.5,Carolinae
146,6.7,3,5.2,2.3,Carolinae
147,6.3,2.5,5,1.9,Carolinae
148,6.5,3,5.2,2,Carolinae
149,6.2,3.4,5.4,2.3,Carolinae
150,5.9,3,5.1,1.8,Carolinae
